run_id;topology;total_mbps;flow_11_21_mbps;flow_12_22_mbps;flow_13_23_mbps;flow_14_24_mbps;duration_min_sec;valid
included_valid_run;V3_gateway4_baseline_ecmp.topo.sh;10.0080;2.2864;2.5169;2.6359;2.5688;129.38;1
included_valid_run;V3_gateway4_icajh_srv6.topo.sh;28.1239;9.2956;4.9491;5.9943;7.8849;124.25;1
